"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"01/24/2003 00:00:00","EST","CAPITL",61757,1368
"01/24/2003 00:00:00","EST","CENTRL",61754,2049
"01/24/2003 00:00:00","EST","DUNWOD",61760,634
"01/24/2003 00:00:00","EST","GENESE",61753,1034
"01/24/2003 00:00:00","EST","HUD VL",61758,1187
"01/24/2003 00:00:00","EST","MHK VL",61756,909
"01/24/2003 00:00:00","EST","MILLWD",61759,295
"01/24/2003 00:00:00","EST","N.Y.C._LONGIL",,7631
"01/24/2003 00:00:00","EST","NORTH",61755,849
"01/24/2003 00:00:00","EST","WEST",61752,1852
"01/24/2003 01:00:00","EST","CAPITL",61757,1333
"01/24/2003 01:00:00","EST","CENTRL",61754,2015
"01/24/2003 01:00:00","EST","DUNWOD",61760,609
"01/24/2003 01:00:00","EST","GENESE",61753,1002
"01/24/2003 01:00:00","EST","HUD VL",61758,1156
"01/24/2003 01:00:00","EST","MHK VL",61756,879
"01/24/2003 01:00:00","EST","MILLWD",61759,287
"01/24/2003 01:00:00","EST","N.Y.C._LONGIL",,7279
"01/24/2003 01:00:00","EST","NORTH",61755,843
"01/24/2003 01:00:00","EST","WEST",61752,1816
"01/24/2003 02:00:00","EST","CAPITL",61757,1303
"01/24/2003 02:00:00","EST","CENTRL",61754,1967
"01/24/2003 02:00:00","EST","DUNWOD",61760,596
"01/24/2003 02:00:00","EST","GENESE",61753,988
"01/24/2003 02:00:00","EST","HUD VL",61758,1145
"01/24/2003 02:00:00","EST","MHK VL",61756,868
"01/24/2003 02:00:00","EST","MILLWD",61759,284
"01/24/2003 02:00:00","EST","N.Y.C._LONGIL",,7066
"01/24/2003 02:00:00","EST","NORTH",61755,841
"01/24/2003 02:00:00","EST","WEST",61752,1778
"01/24/2003 03:00:00","EST","CAPITL",61757,1301
"01/24/2003 03:00:00","EST","CAPITL",61757,1323
"01/24/2003 03:00:00","EST","CENTRL",61754,1978
"01/24/2003 03:00:00","EST","CENTRL",61754,2002
"01/24/2003 03:00:00","EST","DUNWOD",61760,593
"01/24/2003 03:00:00","EST","DUNWOD",61760,599
"01/24/2003 03:00:00","EST","GENESE",61753,988
"01/24/2003 03:00:00","EST","GENESE",61753,1005
"01/24/2003 03:00:00","EST","HUD VL",61758,1145
"01/24/2003 03:00:00","EST","HUD VL",61758,1154
"01/24/2003 03:00:00","EST","MHK VL",61756,864
"01/24/2003 03:00:00","EST","MHK VL",61756,882
"01/24/2003 03:00:00","EST","MILLWD",61759,283
"01/24/2003 03:00:00","EST","MILLWD",61759,289
"01/24/2003 03:00:00","EST","N.Y.C._LONGIL",,7005
"01/24/2003 03:00:00","EST","N.Y.C._LONGIL",,7052
"01/24/2003 03:00:00","EST","NORTH",61755,838
"01/24/2003 03:00:00","EST","NORTH",61755,846
"01/24/2003 03:00:00","EST","WEST",61752,1775
"01/24/2003 03:00:00","EST","WEST",61752,1801
"01/24/2003 04:00:00","EST","CAPITL",61757,1323
"01/24/2003 04:00:00","EST","CENTRL",61754,2002
"01/24/2003 04:00:00","EST","DUNWOD",61760,599
"01/24/2003 04:00:00","EST","GENESE",61753,1005
"01/24/2003 04:00:00","EST","HUD VL",61758,1154
"01/24/2003 04:00:00","EST","MHK VL",61756,882
"01/24/2003 04:00:00","EST","MILLWD",61759,289
"01/24/2003 04:00:00","EST","N.Y.C._LONGIL",,7079
"01/24/2003 04:00:00","EST","NORTH",61755,846
"01/24/2003 04:00:00","EST","WEST",61752,1801
"01/24/2003 05:00:00","EST","CAPITL",61757,1409
"01/24/2003 05:00:00","EST","CENTRL",61754,2138
"01/24/2003 05:00:00","EST","DUNWOD",61760,633
"01/24/2003 05:00:00","EST","GENESE",61753,1087
"01/24/2003 05:00:00","EST","HUD VL",61758,1305
"01/24/2003 05:00:00","EST","MHK VL",61756,948
"01/24/2003 05:00:00","EST","MILLWD",61759,310
"01/24/2003 05:00:00","EST","N.Y.C._LONGIL",,7491
"01/24/2003 05:00:00","EST","NORTH",61755,865
"01/24/2003 05:00:00","EST","WEST",61752,1900
"01/24/2003 06:00:00","EST","CAPITL",61757,1611
"01/24/2003 06:00:00","EST","CENTRL",61754,2377
"01/24/2003 06:00:00","EST","DUNWOD",61760,720
"01/24/2003 06:00:00","EST","GENESE",61753,1246
"01/24/2003 06:00:00","EST","HUD VL",61758,1359
"01/24/2003 06:00:00","EST","MHK VL",61756,1077
"01/24/2003 06:00:00","EST","MILLWD",61759,357
"01/24/2003 06:00:00","EST","N.Y.C._LONGIL",,8296
"01/24/2003 06:00:00","EST","NORTH",61755,909
"01/24/2003 06:00:00","EST","WEST",61752,2064
"01/24/2003 07:00:00","EST","CAPITL",61757,1726
"01/24/2003 07:00:00","EST","CENTRL",61754,2494
"01/24/2003 07:00:00","EST","DUNWOD",61760,800
"01/24/2003 07:00:00","EST","GENESE",61753,1334
"01/24/2003 07:00:00","EST","HUD VL",61758,1438
"01/24/2003 07:00:00","EST","MHK VL",61756,1147
"01/24/2003 07:00:00","EST","MILLWD",61759,378
"01/24/2003 07:00:00","EST","N.Y.C._LONGIL",,9111
"01/24/2003 07:00:00","EST","NORTH",61755,918
"01/24/2003 07:00:00","EST","WEST",61752,2233
"01/24/2003 08:00:00","EST","CAPITL",61757,1728
"01/24/2003 08:00:00","EST","CENTRL",61754,2492
"01/24/2003 08:00:00","EST","DUNWOD",61760,832
"01/24/2003 08:00:00","EST","GENESE",61753,1334
"01/24/2003 08:00:00","EST","HUD VL",61758,1452
"01/24/2003 08:00:00","EST","MHK VL",61756,1151
"01/24/2003 08:00:00","EST","MILLWD",61759,369
"01/24/2003 08:00:00","EST","N.Y.C._LONGIL",,9584
"01/24/2003 08:00:00","EST","NORTH",61755,912
"01/24/2003 08:00:00","EST","WEST",61752,2262
"01/24/2003 09:00:00","EST","CAPITL",61757,1718
"01/24/2003 09:00:00","EST","CENTRL",61754,2473
"01/24/2003 09:00:00","EST","DUNWOD",61760,849
"01/24/2003 09:00:00","EST","GENESE",61753,1333
"01/24/2003 09:00:00","EST","HUD VL",61758,1455
"01/24/2003 09:00:00","EST","MHK VL",61756,1145
"01/24/2003 09:00:00","EST","MILLWD",61759,363
"01/24/2003 09:00:00","EST","N.Y.C._LONGIL",,9916
"01/24/2003 09:00:00","EST","NORTH",61755,903
"01/24/2003 09:00:00","EST","WEST",61752,2261
"01/24/2003 10:00:00","EST","CAPITL",61757,1698
"01/24/2003 10:00:00","EST","CENTRL",61754,2459
"01/24/2003 10:00:00","EST","DUNWOD",61760,852
"01/24/2003 10:00:00","EST","GENESE",61753,1335
"01/24/2003 10:00:00","EST","HUD VL",61758,1451
"01/24/2003 10:00:00","EST","MHK VL",61756,1135
"01/24/2003 10:00:00","EST","MILLWD",61759,345
"01/24/2003 10:00:00","EST","N.Y.C._LONGIL",,10046
"01/24/2003 10:00:00","EST","NORTH",61755,886
"01/24/2003 10:00:00","EST","WEST",61752,2260
"01/24/2003 11:00:00","EST","CAPITL",61757,1684
"01/24/2003 11:00:00","EST","CENTRL",61754,2435
"01/24/2003 11:00:00","EST","DUNWOD",61760,843
"01/24/2003 11:00:00","EST","GENESE",61753,1322
"01/24/2003 11:00:00","EST","HUD VL",61758,1442
"01/24/2003 11:00:00","EST","MHK VL",61756,1129
"01/24/2003 11:00:00","EST","MILLWD",61759,331
"01/24/2003 11:00:00","EST","N.Y.C._LONGIL",,10098
"01/24/2003 11:00:00","EST","NORTH",61755,885
"01/24/2003 11:00:00","EST","WEST",61752,2249
"01/24/2003 12:00:00","EST","CAPITL",61757,1648
"01/24/2003 12:00:00","EST","CENTRL",61754,2391
"01/24/2003 12:00:00","EST","DUNWOD",61760,832
"01/24/2003 12:00:00","EST","GENESE",61753,1302
"01/24/2003 12:00:00","EST","HUD VL",61758,1414
"01/24/2003 12:00:00","EST","MHK VL",61756,1105
"01/24/2003 12:00:00","EST","MILLWD",61759,336
"01/24/2003 12:00:00","EST","N.Y.C._LONGIL",,10018
"01/24/2003 12:00:00","EST","NORTH",61755,873
"01/24/2003 12:00:00","EST","WEST",61752,2219
"01/24/2003 13:00:00","EST","CAPITL",61757,1598
"01/24/2003 13:00:00","EST","CENTRL",61754,2356
"01/24/2003 13:00:00","EST","DUNWOD",61760,817
"01/24/2003 13:00:00","EST","GENESE",61753,1284
"01/24/2003 13:00:00","EST","HUD VL",61758,1388
"01/24/2003 13:00:00","EST","MHK VL",61756,1081
"01/24/2003 13:00:00","EST","MILLWD",61759,327
"01/24/2003 13:00:00","EST","N.Y.C._LONGIL",,9918
"01/24/2003 13:00:00","EST","NORTH",61755,870
"01/24/2003 13:00:00","EST","WEST",61752,2213
"01/24/2003 14:00:00","EST","CAPITL",61757,1568
"01/24/2003 14:00:00","EST","CENTRL",61754,2312
"01/24/2003 14:00:00","EST","DUNWOD",61760,801
"01/24/2003 14:00:00","EST","GENESE",61753,1267
"01/24/2003 14:00:00","EST","HUD VL",61758,1368
"01/24/2003 14:00:00","EST","MHK VL",61756,1060
"01/24/2003 14:00:00","EST","MILLWD",61759,319
"01/24/2003 14:00:00","EST","N.Y.C._LONGIL",,9829
