"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"09/01/2006 00:00:00","EDT","CAPITL",61757,1058.1
"09/01/2006 00:00:00","EDT","CENTRL",61754,1591.7
"09/01/2006 00:00:00","EDT","DUNWOD",61760,571.8
"09/01/2006 00:00:00","EDT","GENESE",61753,896.4
"09/01/2006 00:00:00","EDT","HUD VL",61758,976.2
"09/01/2006 00:00:00","EDT","LONGIL",61762,2067.5
"09/01/2006 00:00:00","EDT","MHK VL",61756,670.6
"09/01/2006 00:00:00","EDT","MILLWD",61759,173.7
"09/01/2006 00:00:00","EDT","N.Y.C.",61761,5127.7
"09/01/2006 00:00:00","EDT","NORTH",61755,641.4
"09/01/2006 00:00:00","EDT","WEST",61752,1569.5
"09/01/2006 01:00:00","EDT","CAPITL",61757,994.5
"09/01/2006 01:00:00","EDT","CENTRL",61754,1546.4
"09/01/2006 01:00:00","EDT","DUNWOD",61760,535.1
"09/01/2006 01:00:00","EDT","GENESE",61753,844
"09/01/2006 01:00:00","EDT","HUD VL",61758,925.4
"09/01/2006 01:00:00","EDT","LONGIL",61762,1922.5
"09/01/2006 01:00:00","EDT","MHK VL",61756,638.3
"09/01/2006 01:00:00","EDT","MILLWD",61759,159.1
"09/01/2006 01:00:00","EDT","N.Y.C.",61761,4855.8
"09/01/2006 01:00:00","EDT","NORTH",61755,633.1
"09/01/2006 01:00:00","EDT","WEST",61752,1498.8
"09/01/2006 02:00:00","EDT","CAPITL",61757,949
"09/01/2006 02:00:00","EDT","CENTRL",61754,1506.1
"09/01/2006 02:00:00","EDT","DUNWOD",61760,510.1
"09/01/2006 02:00:00","EDT","GENESE",61753,825.5
"09/01/2006 02:00:00","EDT","HUD VL",61758,893.2
"09/01/2006 02:00:00","EDT","LONGIL",61762,1837.1
"09/01/2006 02:00:00","EDT","MHK VL",61756,626
"09/01/2006 02:00:00","EDT","MILLWD",61759,152.2
"09/01/2006 02:00:00","EDT","N.Y.C.",61761,4669.6
"09/01/2006 02:00:00","EDT","NORTH",61755,624
"09/01/2006 02:00:00","EDT","WEST",61752,1469.2
