"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"08/13/2006 00:00:00","EDT","CAPITL",61757,1029.2
"08/13/2006 00:00:00","EDT","CENTRL",61754,1533.4
"08/13/2006 00:00:00","EDT","DUNWOD",61760,612.1
"08/13/2006 00:00:00","EDT","GENESE",61753,840.6
"08/13/2006 00:00:00","EDT","HUD VL",61758,971.5
"08/13/2006 00:00:00","EDT","LONGIL",61762,2241
"08/13/2006 00:00:00","EDT","MHK VL",61756,678.7
"08/13/2006 00:00:00","EDT","MILLWD",61759,148.9
"08/13/2006 00:00:00","EDT","N.Y.C.",61761,5438.4
"08/13/2006 00:00:00","EDT","NORTH",61755,638.1
"08/13/2006 00:00:00","EDT","WEST",61752,1497.4
"08/13/2006 01:00:00","EDT","CAPITL",61757,986.4
"08/13/2006 01:00:00","EDT","CENTRL",61754,1503.9
"08/13/2006 01:00:00","EDT","DUNWOD",61760,566.7
"08/13/2006 01:00:00","EDT","GENESE",61753,799.5
"08/13/2006 01:00:00","EDT","HUD VL",61758,921.8
"08/13/2006 01:00:00","EDT","LONGIL",61762,2079.2
"08/13/2006 01:00:00","EDT","MHK VL",61756,652.1
"08/13/2006 01:00:00","EDT","MILLWD",61759,137.4
"08/13/2006 01:00:00","EDT","N.Y.C.",61761,5163
"08/13/2006 01:00:00","EDT","NORTH",61755,631.6
"08/13/2006 01:00:00","EDT","WEST",61752,1439.2
"08/13/2006 02:00:00","EDT","CAPITL",61757,960.5
"08/13/2006 02:00:00","EDT","CENTRL",61754,1462.5
"08/13/2006 02:00:00","EDT","DUNWOD",61760,537.4
"08/13/2006 02:00:00","EDT","GENESE",61753,773.4
"08/13/2006 02:00:00","EDT","HUD VL",61758,877.8
"08/13/2006 02:00:00","EDT","LONGIL",61762,1972.7
"08/13/2006 02:00:00","EDT","MHK VL",61756,637.3
"08/13/2006 02:00:00","EDT","MILLWD",61759,135.2
"08/13/2006 02:00:00","EDT","N.Y.C.",61761,4963.7
"08/13/2006 02:00:00","EDT","NORTH",61755,626.3
"08/13/2006 02:00:00","EDT","WEST",61752,1398.8
"08/13/2006 03:00:00","EDT","CAPITL",61757,943.6
