"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"01/23/2005 00:00:00","EST","CAPITL",61757,1317
"01/23/2005 00:00:00","EST","CENTRL",61754,1982
"01/23/2005 00:00:00","EST","DUNWOD",61760,542
"01/23/2005 00:00:00","EST","GENESE",61753,1019
"01/23/2005 00:00:00","EST","HUD VL",61758,1229
"01/23/2005 00:00:00","EST","MHK VL",61756,938
"01/23/2005 00:00:00","EST","MILLWD",61759,383
"01/23/2005 00:00:00","EST","N.Y.C._LONGIL",,7617
"01/23/2005 00:00:00","EST","NORTH",61755,852
"01/23/2005 00:00:00","EST","WEST",61752,1821
"01/23/2005 01:00:00","EST","CAPITL",61757,1276
"01/23/2005 01:00:00","EST","CENTRL",61754,1920
"01/23/2005 01:00:00","EST","DUNWOD",61760,513
"01/23/2005 01:00:00","EST","GENESE",61753,982
"01/23/2005 01:00:00","EST","HUD VL",61758,1182
"01/23/2005 01:00:00","EST","MHK VL",61756,904
"01/23/2005 01:00:00","EST","MILLWD",61759,370
"01/23/2005 01:00:00","EST","N.Y.C._LONGIL",,7221
"01/23/2005 01:00:00","EST","NORTH",61755,841
"01/23/2005 01:00:00","EST","WEST",61752,1769
"01/23/2005 02:00:00","EST","CAPITL",61757,1257
"01/23/2005 02:00:00","EST","CENTRL",61754,1898
"01/23/2005 02:00:00","EST","DUNWOD",61760,493
"01/23/2005 02:00:00","EST","GENESE",61753,968
"01/23/2005 02:00:00","EST","HUD VL",61758,1153
"01/23/2005 02:00:00","EST","MHK VL",61756,879
"01/23/2005 02:00:00","EST","MILLWD",61759,365
"01/23/2005 02:00:00","EST","N.Y.C._LONGIL",,6981
"01/23/2005 02:00:00","EST","NORTH",61755,832
"01/23/2005 02:00:00","EST","WEST",61752,1734
"01/23/2005 03:00:00","EST","CAPITL",61757,1250
"01/23/2005 03:00:00","EST","CENTRL",61754,1874
"01/23/2005 03:00:00","EST","DUNWOD",61760,485
"01/23/2005 03:00:00","EST","GENESE",61753,959
"01/23/2005 03:00:00","EST","HUD VL",61758,1140
"01/23/2005 03:00:00","EST","MHK VL",61756,861
"01/23/2005 03:00:00","EST","MILLWD",61759,363
"01/23/2005 03:00:00","EST","N.Y.C._LONGIL",,6856
"01/23/2005 03:00:00","EST","NORTH",61755,830
