"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"10/15/2014 00:00",1054,1480,554,916,873,1763,617,226,4947,428,1613,14471
"10/15/2014 01:00",1035,1420,533,879,841,1721,582,217,4741,431,1506,13906
"10/15/2014 02:00",1018,1388,525,872,847,1704,575,220,4649,420,1473,13691
"10/15/2014 03:00",1009,1380,515,868,846,1684,568,216,4596,420,1453,13555
"10/15/2014 04:00",1017,1389,511,871,842,1685,574,213,4585,416,1461,13564
"10/15/2014 05:00",1074,1448,534,910,839,1718,616,221,4686,427,1536,14009
"10/15/2014 06:00",1237,1647,615,1075,986,1994,713,268,5342,453,1679,16009
"10/15/2014 07:00",1368,1800,696,1195,1072,2195,800,302,6001,472,1828,17729
"10/15/2014 08:00",1416,1862,733,1232,1125,2332,831,313,6531,475,1865,18715
"10/15/2014 09:00",1436,1905,755,1265,1147,2430,843,322,6904,477,1902,19386
"10/15/2014 10:00",1460,1935,780,1295,1165,2519,857,330,7108,479,1919,19847
"10/15/2014 11:00",1459,1953,783,1311,1184,2569,856,331,7241,481,1929,20097
"10/15/2014 12:00",1443,1956,788,1315,1182,2588,847,330,7328,484,1912,20173
"10/15/2014 13:00",1447,1973,791,1316,1185,2603,845,328,7387,485,1908,20268
"10/15/2014 14:00",1442,1957,792,1301,1178,2617,837,327,7404,485,1898,20238
"10/15/2014 15:00",1448,1947,795,1287,1175,2622,826,328,7437,482,1872,20219
"10/15/2014 16:00",1452,1923,797,1266,1182,2633,824,332,7462,482,1847,20200
"10/15/2014 17:00",1482,1918,798,1251,1196,2676,831,337,7457,487,1845,20278
"10/15/2014 18:00",1538,1957,809,1264,1244,2794,860,356,7340,496,1869,20527
"10/15/2014 19:00",1559,2006,819,1288,1268,2834,885,368,7230,504,1917,20678
"10/15/2014 20:00",1508,1956,789,1247,1234,2727,854,354,6997,495,1895,20056
"10/15/2014 21:00",1422,1855,750,1172,1175,2581,802,334,6737,478,1846,19152
"10/15/2014 22:00",1297,1719,690,1071,1089,2349,731,301,6383,460,1738,17828
"10/15/2014 23:00",1166,1577,622,967,990,2090,651,263,5871,441,1609,16247
"10/16/2014 00:00",1079,1482,562,890,906,1880,602,235,5363,430,1517,14946
"10/16/2014 01:00",1063,1411,551,857,853,1803,588,226,5049,438,1464,14303
"10/16/2014 02:00",1037,1367,530,839,837,1742,584,225,4849,426,1431,13867
"10/16/2014 03:00",1026,1357,514,832,828,1704,579,220,4745,423,1413,13641
"10/16/2014 04:00",1038,1372,509,839,826,1711,582,216,4738,421,1421,13673
"10/16/2014 05:00",1113,1458,543,887,860,1798,619,226,4966,434,1497,14401
"10/16/2014 06:00",1268,1650,610,1008,985,2021,726,269,5526,463,1629,16155
"10/16/2014 07:00",1402,1800,696,1112,1082,2232,814,304,6202,485,1765,17894
"10/16/2014 08:00",1446,1847,736,1137,1141,2374,843,316,6714,487,1798,18839
"10/16/2014 09:00",1468,1877,757,1158,1169,2468,849,325,7054,489,1829,19443
"10/16/2014 10:00",1493,1893,780,1178,1193,2550,861,332,7215,490,1840,19825
"10/16/2014 11:00",1483,1897,781,1186,1213,2587,856,332,7297,492,1847,19971
"10/16/2014 12:00",1461,1893,782,1186,1209,2596,844,330,7330,493,1833,19957
