"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"01/27/2010 00:00",1067,1595,522,959,938,1985,748,257,5004,477,1639,15191
"01/27/2010 01:00",1013,1534,496,916,904,1884,706,244,4720,474,1586,14477
"01/27/2010 02:00",990,1500,479,893,895,1827,681,242,4550,471,1558,14086
"01/27/2010 03:00",988,1497,465,892,879,1806,686,246,4471,470,1550,13950
"01/27/2010 04:00",1014,1527,468,915,892,1839,703,252,4481,474,1571,14136
"01/27/2010 05:00",1106,1649,505,995,950,1959,760,276,4719,488,1650,15057
"01/27/2010 06:00",1281,1856,577,1132,1061,2211,863,324,5266,513,1807,16891
"01/27/2010 07:00",1396,1985,645,1228,1134,2412,935,353,5853,530,1943,18414
"01/27/2010 08:00",1402,1993,662,1232,1150,2485,949,356,6243,530,1983,18985
"01/27/2010 09:00",1393,2014,673,1248,1158,2518,955,352,6500,529,2013,19353
"01/27/2010 10:00",1379,2023,677,1259,1169,2542,957,352,6628,531,2037,19554
"01/27/2010 11:00",1369,2011,679,1254,1161,2536,957,344,6666,533,2040,19550
"01/27/2010 12:00",1348,1992,676,1240,1147,2507,945,336,6666,531,2030,19418
"01/27/2010 13:00",1337,1983,675,1236,1139,2488,941,333,6660,529,2022,19343
"01/27/2010 14:00",1320,1948,670,1219,1128,2476,926,331,6642,528,2006,19194
"01/27/2010 15:00",1318,1928,671,1214,1130,2486,919,338,6633,529,1988,19154
"01/27/2010 16:00",1353,1963,693,1230,1166,2572,935,357,6725,538,2007,19539
"01/27/2010 17:00",1491,2104,746,1319,1277,2854,1002,399,6941,555,2095,20783
"01/27/2010 18:00",1545,2177,777,1367,1333,3002,1031,430,6938,555,2162,21317
"01/27/2010 19:00",1518,2146,760,1340,1316,2952,1010,423,6760,547,2145,20917
"01/27/2010 20:00",1473,2085,732,1296,1283,2855,978,411,6545,537,2091,20286
"01/27/2010 21:00",1382,1964,689,1219,1220,2688,916,382,6269,522,2012,19263
"01/27/2010 22:00",1264,1824,630,1124,1119,2432,844,336,5906,507,1893,17879
"01/27/2010 23:00",1145,1691,562,1019,1013,2163,788,297,5450,496,1760,16384
"01/28/2010 00:00",1092,1631,525,972,949,2009,758,280,5045,493,1669,15423
