"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"03/29/2015 00:00",1180,1636,583,942,932,1984,764,262,4876,519,1610,15288
"03/29/2015 01:00",1168,1594,569,915,912,1924,761,277,4671,524,1579,14894
"03/29/2015 02:00",1127,1564,542,880,865,1837,735,265,4480,528,1564,14387
"03/29/2015 03:00",1115,1557,517,864,850,1793,729,253,4382,522,1556,14138
"03/29/2015 04:00",1137,1578,507,874,857,1800,748,248,4351,528,1566,14194
"03/29/2015 05:00",1173,1625,498,917,895,1838,793,265,4376,535,1603,14518
"03/29/2015 06:00",1176,1680,531,923,910,1884,823,277,4453,548,1652,14857
"03/29/2015 07:00",1220,1729,556,945,940,1950,852,280,4591,559,1680,15302
"03/29/2015 08:00",1271,1771,582,976,973,2034,881,283,4763,562,1711,15807
"03/29/2015 09:00",1301,1801,601,1006,1002,2110,909,285,4964,564,1736,16279
"03/29/2015 10:00",1317,1813,618,1023,1015,2146,911,286,5143,561,1754,16587
"03/29/2015 11:00",1317,1805,620,1018,1012,2149,903,281,5248,553,1741,16647
"03/29/2015 12:00",1305,1779,618,1009,999,2141,883,276,5316,544,1730,16600
"03/29/2015 13:00",1286,1753,612,1000,984,2103,862,267,5306,533,1715,16421
"03/29/2015 14:00",1258,1714,604,988,968,2060,834,259,5270,526,1689,16170
"03/29/2015 15:00",1256,1700,603,972,961,2039,821,259,5265,522,1660,16058
"03/29/2015 16:00",1275,1698,603,975,972,2054,830,261,5260,522,1660,16110
"03/29/2015 17:00",1312,1722,618,984,1002,2138,856,275,5267,530,1668,16372
"03/29/2015 18:00",1349,1771,645,1007,1048,2239,881,295,5389,535,1687,16846
"03/29/2015 19:00",1405,1844,687,1043,1115,2413,919,322,5563,545,1726,17582
"03/29/2015 20:00",1429,1905,707,1101,1152,2493,942,336,5668,550,1807,18090
"03/29/2015 21:00",1367,1837,690,1062,1109,2421,894,326,5598,540,1774,17618
"03/29/2015 22:00",1265,1728,650,997,1034,2261,826,302,5400,523,1704,16690
"03/29/2015 23:00",1182,1628,595,926,944,2061,759,274,5103,511,1618,15601
"03/30/2015 00:00",1124,1563,552,872,887,1896,725,255,4794,504,1556,14728
"03/30/2015 01:00",1105,1521,530,859,856,1822,714,255,4568,511,1546,14287
