"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"06/11/2002 00:00:00","EDT","CAPITL",61757,979
"06/11/2002 00:00:00","EDT","CENTRL",61754,1568
"06/11/2002 00:00:00","EDT","DUNWOD",61760,544
"06/11/2002 00:00:00","EDT","GENESE",61753,938
"06/11/2002 00:00:00","EDT","HUD VL",61758,969
"06/11/2002 00:00:00","EDT","MHK VL",61756,611
"06/11/2002 00:00:00","EDT","MILLWD",61759,208
"06/11/2002 00:00:00","EDT","N.Y.C._LONGIL",,6910
"06/11/2002 00:00:00","EDT","NORTH",61755,646
"06/11/2002 00:00:00","EDT","WEST",61752,1715
"06/11/2002 01:00:00","EDT","CAPITL",61757,945
"06/11/2002 01:00:00","EDT","CENTRL",61754,1521
"06/11/2002 01:00:00","EDT","DUNWOD",61760,508
"06/11/2002 01:00:00","EDT","GENESE",61753,896
"06/11/2002 01:00:00","EDT","HUD VL",61758,911
"06/11/2002 01:00:00","EDT","MHK VL",61756,567
"06/11/2002 01:00:00","EDT","MILLWD",61759,185
"06/11/2002 01:00:00","EDT","N.Y.C._LONGIL",,6489
"06/11/2002 01:00:00","EDT","NORTH",61755,661
"06/11/2002 01:00:00","EDT","WEST",61752,1633
"06/11/2002 02:00:00","EDT","CAPITL",61757,939
"06/11/2002 02:00:00","EDT","CENTRL",61754,1476
"06/11/2002 02:00:00","EDT","DUNWOD",61760,490
"06/11/2002 02:00:00","EDT","GENESE",61753,876
"06/11/2002 02:00:00","EDT","HUD VL",61758,872
"06/11/2002 02:00:00","EDT","MHK VL",61756,545
"06/11/2002 02:00:00","EDT","MILLWD",61759,174
"06/11/2002 02:00:00","EDT","N.Y.C._LONGIL",,6251
"06/11/2002 02:00:00","EDT","NORTH",61755,657
"06/11/2002 02:00:00","EDT","WEST",61752,1598
"06/11/2002 03:00:00","EDT","CAPITL",61757,938
"06/11/2002 03:00:00","EDT","CENTRL",61754,1458
"06/11/2002 03:00:00","EDT","DUNWOD",61760,480
"06/11/2002 03:00:00","EDT","GENESE",61753,860
"06/11/2002 03:00:00","EDT","HUD VL",61758,851
"06/11/2002 03:00:00","EDT","MHK VL",61756,528
"06/11/2002 03:00:00","EDT","MILLWD",61759,170
"06/11/2002 03:00:00","EDT","N.Y.C._LONGIL",,6141
"06/11/2002 03:00:00","EDT","NORTH",61755,654
"06/11/2002 03:00:00","EDT","WEST",61752,1565
"06/11/2002 04:00:00","EDT","CAPITL",61757,953
"06/11/2002 04:00:00","EDT","CENTRL",61754,1483
"06/11/2002 04:00:00","EDT","DUNWOD",61760,479
"06/11/2002 04:00:00","EDT","GENESE",61753,880
"06/11/2002 04:00:00","EDT","HUD VL",61758,855
"06/11/2002 04:00:00","EDT","MHK VL",61756,544
"06/11/2002 04:00:00","EDT","MILLWD",61759,172
"06/11/2002 04:00:00","EDT","N.Y.C._LONGIL",,6174
"06/11/2002 04:00:00","EDT","NORTH",61755,661
"06/11/2002 04:00:00","EDT","WEST",61752,1582
"06/11/2002 05:00:00","EDT","CAPITL",61757,1012
"06/11/2002 05:00:00","EDT","CENTRL",61754,1573
"06/11/2002 05:00:00","EDT","DUNWOD",61760,495
"06/11/2002 05:00:00","EDT","GENESE",61753,939
"06/11/2002 05:00:00","EDT","HUD VL",61758,885
"06/11/2002 05:00:00","EDT","MHK VL",61756,593
"06/11/2002 05:00:00","EDT","MILLWD",61759,186
"06/11/2002 05:00:00","EDT","N.Y.C._LONGIL",,6429
"06/11/2002 05:00:00","EDT","NORTH",61755,675
"06/11/2002 05:00:00","EDT","WEST",61752,1646
"06/11/2002 06:00:00","EDT","CAPITL",61757,1188
"06/11/2002 06:00:00","EDT","CENTRL",61754,1792
"06/11/2002 06:00:00","EDT","DUNWOD",61760,571
"06/11/2002 06:00:00","EDT","GENESE",61753,1082
"06/11/2002 06:00:00","EDT","HUD VL",61758,996
"06/11/2002 06:00:00","EDT","MHK VL",61756,741
"06/11/2002 06:00:00","EDT","MILLWD",61759,227
"06/11/2002 06:00:00","EDT","N.Y.C._LONGIL",,7303
"06/11/2002 06:00:00","EDT","NORTH",61755,704
"06/11/2002 06:00:00","EDT","WEST",61752,1791
"06/11/2002 07:00:00","EDT","CAPITL",61757,1337
"06/11/2002 07:00:00","EDT","CENTRL",61754,2001
"06/11/2002 07:00:00","EDT","DUNWOD",61760,682
"06/11/2002 07:00:00","EDT","GENESE",61753,1241
"06/11/2002 07:00:00","EDT","HUD VL",61758,1121
"06/11/2002 07:00:00","EDT","MHK VL",61756,887
"06/11/2002 07:00:00","EDT","MILLWD",61759,268
"06/11/2002 07:00:00","EDT","N.Y.C._LONGIL",,8481
"06/11/2002 07:00:00","EDT","NORTH",61755,727
"06/11/2002 07:00:00","EDT","WEST",61752,2005
"06/11/2002 08:00:00","EDT","CAPITL",61757,1385
"06/11/2002 08:00:00","EDT","CENTRL",61754,2113
"06/11/2002 08:00:00","EDT","DUNWOD",61760,759
"06/11/2002 08:00:00","EDT","GENESE",61753,1349
