"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"01/16/2009 00:00",1304,1871,554,1075,1157,2286,956,366,5531,827,1769,17696
"01/16/2009 01:00",1282,1828,537,1045,1131,2181,932,349,5238,823,1725,17071
"01/16/2009 02:00",1272,1817,521,1036,1123,2127,930,349,5063,827,1704,16769
"01/16/2009 03:00",1267,1820,514,1031,1121,2102,929,352,4979,831,1696,16642
"01/16/2009 04:00",1295,1853,515,1052,1131,2132,947,358,4987,834,1719,16823
"01/16/2009 05:00",1392,1963,547,1126,1187,2246,1007,380,5216,853,1800,17717
"01/16/2009 06:00",1552,2191,613,1258,1287,2508,1121,435,5779,882,1966,19592
"01/16/2009 07:00",1665,2323,693,1354,1353,2729,1204,461,6407,908,2112,21209
"01/16/2009 08:00",1680,2334,713,1362,1368,2815,1217,461,6795,901,2143,21789
"01/16/2009 09:00",1691,2345,729,1375,1389,2878,1217,449,7081,894,2170,22218
"01/16/2009 10:00",1691,2327,740,1388,1398,2920,1210,449,7245,883,2184,22435
"01/16/2009 11:00",1677,2296,735,1375,1392,2933,1194,439,7312,873,2174,22400
"01/16/2009 12:00",1664,2269,735,1357,1385,2910,1175,425,7312,863,2159,22254
"01/16/2009 13:00",1643,2254,729,1343,1379,2882,1157,419,7292,856,2150,22104
"01/16/2009 14:00",1617,2202,730,1326,1361,2863,1133,414,7253,847,2123,21869
"01/16/2009 15:00",1606,2176,730,1314,1349,2860,1117,420,7218,849,2093,21732
"01/16/2009 16:00",1642,2192,751,1326,1379,2945,1133,434,7282,858,2099,22041
"01/16/2009 17:00",1791,2359,805,1431,1505,3232,1224,483,7479,884,2204,23397
"01/16/2009 18:00",1814,2408,837,1463,1558,3337,1257,510,7427,889,2271,23771
"01/16/2009 19:00",1759,2363,807,1422,1522,3254,1226,508,7192,884,2243,23180
"01/16/2009 20:00",1697,2301,780,1383,1488,3150,1187,497,6937,874,2192,22486
"01/16/2009 21:00",1604,2190,739,1314,1433,3007,1126,479,6661,861,2122,21536
"01/16/2009 22:00",1489,2060,687,1218,1346,2787,1059,441,6381,840,2011,20319
"01/16/2009 23:00",1375,1936,625,1122,1253,2522,992,396,5967,822,1868,18878
"01/17/2009 00:00",1318,1842,572,1045,1174,2341,956,367,5613,827,1750,17805
"01/17/2009 01:00",1286,1790,550,1014,1145,2227,906,348,5353,819,1702,17140
"01/17/2009 02:00",1267,1771,532,1002,1134,2163,898,341,5184,812,1676,16780
"01/17/2009 03:00",1254,1763,522,991,1128,2122,887,337,5085,809,1660,16558
"01/17/2009 04:00",1249,1748,508,985,1121,2102,885,339,5004,801,1650,16392
"01/17/2009 05:00",1256,1749,508,991,1124,2101,898,344,4952,807,1652,16382
"01/17/2009 06:00",1323,1853,529,1049,1174,2226,954,368,5099,820,1721,17116
"01/17/2009 07:00",1429,1959,581,1129,1239,2407,1022,393,5405,854,1821,18239
"01/17/2009 08:00",1504,2022,616,1175,1289,2549,1078,416,5697,867,1879,19092
"01/17/2009 09:00",1551,2069,651,1215,1337,2664,1110,430,6015,875,1932,19849
"01/17/2009 10:00",1563,2066,676,1242,1359,2734,1113,442,6248,866,1956,20265
"01/17/2009 11:00",1557,2040,674,1237,1364,2765,1098,438,6361,856,1951,20341
"01/17/2009 12:00",1539,2010,674,1218,1351,2740,1078,428,6374,846,1928,20186
"01/17/2009 13:00",1512,1991,667,1201,1336,2698,1055,420,6342,838,1915,19975
"01/17/2009 14:00",1492,1956,667,1189,1316,2664,1037,411,6295,827,1897,19751
"01/17/2009 15:00",1491,1956,664,1190,1309,2656,1026,409,6254,833,1885,19673
"01/17/2009 16:00",1543,2007,691,1223,1348,2760,1053,423,6340,847,1919,20154
"01/17/2009 17:00",1700,2174,751,1338,1471,3039,1152,470,6644,878,2040,21657
"01/17/2009 18:00",1732,2225,787,1372,1513,3138,1182,494,6740,879,2111,22173
"01/17/2009 19:00",1682,2185,765,1337,1474,3067,1156,483,6640,871,2094,21754
"01/17/2009 20:00",1632,2132,745,1303,1443,2994,1120,465,6502,856,2050,21242
"01/17/2009 21:00",1556,2046,718,1241,1393,2898,1058,445,6353,840,1993,20541
"01/17/2009 22:00",1461,1953,680,1166,1320,2734,994,412,6191,816,1914,19641
"01/17/2009 23:00",1367,1861,627,1086,1236,2517,934,375,5903,799,1800,18505
"01/18/2009 00:00",1308,1784,584,1007,1145,2305,907,343,5569,812,1688,17452
"01/18/2009 01:00",1264,1733,560,973,1110,2181,874,321,5283,808,1646,16753
"01/18/2009 02:00",1237,1711,539,958,1092,2100,866,312,5082,803,1623,16323
"01/18/2009 03:00",1222,1695,523,945,1083,2046,852,308,4960,797,1606,16037
"01/18/2009 04:00",1214,1667,510,929,1071,2013,839,305,4866,786,1589,15789
"01/18/2009 05:00",1200,1646,502,915,1061,1976,837,301,4771,786,1571,15566
"01/18/2009 06:00",1241,1713,504,948,1084,2022,866,309,4790,791,1605,15873
"01/18/2009 07:00",1335,1803,540,1013,1139,2145,920,325,4950,811,1676,16657
"01/18/2009 08:00",1412,1864,568,1049,1192,2266,974,353,5156,825,1725,17384
"01/18/2009 09:00",1465,1916,602,1086,1245,2385,1011,373,5422,838,1772,18115
"01/18/2009 10:00",1494,1932,628,1115,1271,2478,1023,393,5642,838,1803,18617
"01/18/2009 11:00",1497,1936,634,1123,1284,2528,1018,395,5783,835,1819,18852
"01/18/2009 12:00",1486,1929,640,1115,1277,2520,1010,388,5836,829,1813,18843
"01/18/2009 13:00",1461,1923,633,1109,1266,2490,995,387,5852,826,1809,18751
"01/18/2009 14:00",1441,1901,633,1106,1254,2467,983,384,5854,821,1807,18651
"01/18/2009 15:00",1442,1912,632,1113,1250,2471,979,385,5855,824,1814,18677
"01/18/2009 16:00",1493,1965,657,1152,1289,2567,1004,395,5960,834,1855,19171
"01/18/2009 17:00",1640,2129,719,1266,1416,2819,1089,433,6263,860,1965,20599
"01/18/2009 18:00",1683,2185,758,1306,1462,2918,1121,451,6382,865,2030,21161
"01/18/2009 19:00",1648,2164,749,1287,1436,2886,1107,450,6354,860,2026,20967
"01/18/2009 20:00",1600,2124,742,1262,1404,2836,1077,443,6302,852,1997,20639
"01/18/2009 21:00",1519,2046,715,1210,1349,2738,1019,428,6196,841,1953,20014
"01/18/2009 22:00",1424,1962,672,1146,1275,2572,970,399,6039,827,1887,19173
"01/18/2009 23:00",1339,1876,616,1077,1197,2370,925,373,5768,817,1801,18159
"01/19/2009 00:00",1279,1809,566,1006,1122,2162,887,340,5366,804,1693,17034
"01/19/2009 01:00",1247,1777,544,968,1088,2085,864,319,5103,799,1647,16441
