"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"11/26/2002 00:00",1080,1693,522,910,908,1904,621,237,4474,753,1701,14803
"11/26/2002 01:00",1041,1638,492,877,877,1783,596,222,4212,746,1652,14136
"11/26/2002 02:00",1026,1605,478,863,865,1720,581,216,4073,742,1631,13800
"11/26/2002 03:00",1025,1595,475,859,860,1699,579,215,4015,738,1619,13679
"11/26/2002 04:00",1050,1625,484,878,870,1721,598,219,4038,745,1640,13868
"11/26/2002 05:00",1144,1757,526,963,930,1838,668,238,4305,763,1725,14857
"11/26/2002 06:00",1343,2024,614,1136,1061,2119,816,278,4907,803,1906,17007
"11/26/2002 07:00",1459,2152,692,1228,1127,2357,906,314,5568,826,2069,18698
"11/26/2002 08:00",1470,2159,711,1241,1161,2474,922,322,5986,817,2110,19373
"11/26/2002 09:00",1466,2157,723,1244,1179,2529,919,327,6255,810,2124,19733
"11/26/2002 10:00",1462,2163,724,1247,1187,2563,909,328,6366,806,2136,19891
"11/26/2002 11:00",1452,2148,719,1247,1176,2560,899,326,6412,803,2127,19869
"11/26/2002 12:00",1433,2129,710,1234,1155,2533,879,322,6398,799,2108,19700
"11/26/2002 13:00",1430,2145,711,1240,1128,2606,877,322,6513,800,2121,19893
"11/26/2002 14:00",1408,2107,699,1225,1125,2499,866,317,6387,794,2088,19515
"11/26/2002 15:00",1420,2112,713,1227,1130,2535,870,323,6420,798,2078,19626
"11/26/2002 16:00",1540,2225,775,1294,1237,2778,950,351,6624,824,2144,20742
"11/26/2002 17:00",1651,2366,849,1397,1362,3127,1022,385,6855,838,2283,22135
"11/26/2002 18:00",1631,2340,850,1370,1345,3140,1003,386,6633,834,2254,21786
"11/26/2002 19:00",1597,2290,831,1337,1318,3067,977,376,6412,830,2224,21259
"11/26/2002 20:00",1542,2215,791,1301,1288,2935,939,359,6150,814,2179,20513
"11/26/2002 21:00",1449,2113,748,1227,1201,2777,876,339,5871,798,2104,19503
"11/26/2002 22:00",1322,1955,669,1109,1096,2493,785,303,5481,778,1965,17956
"11/26/2002 23:00",1196,1800,586,998,993,2176,690,266,4967,762,1805,16239
"11/27/2002 00:00",1121,1718,502,904,936,1956,694,242,4431,763,1676,14943
"11/27/2002 01:00",1084,1672,474,877,908,1838,670,228,4198,758,1634,14341
"11/27/2002 02:00",1071,1644,461,866,896,1777,658,223,4075,754,1616,14041
