Load Forecast,Time Stamp
1283,2017-09-11 00:00:00
1254,2017-09-11 01:00:00
1232,2017-09-11 02:00:00
1232,2017-09-11 03:00:00
1271,2017-09-11 04:00:00
1387,2017-09-11 05:00:00
1555,2017-09-11 06:00:00
1654,2017-09-11 07:00:00
1702,2017-09-11 08:00:00
1708,2017-09-11 09:00:00
1747,2017-09-11 10:00:00
1767,2017-09-11 11:00:00
1784,2017-09-11 12:00:00
1801,2017-09-11 13:00:00
1806,2017-09-11 14:00:00
1804,2017-09-11 15:00:00
1805,2017-09-11 16:00:00
1795,2017-09-11 17:00:00
1779,2017-09-11 18:00:00
1800,2017-09-11 19:00:00
1805,2017-09-11 20:00:00
1681,2017-09-11 21:00:00
1544,2017-09-11 22:00:00
1426,2017-09-11 23:00:00
1343,2017-09-12 00:00:00
1298,2017-09-12 01:00:00
1264,2017-09-12 02:00:00
1258,2017-09-12 03:00:00
1288,2017-09-12 04:00:00
1393,2017-09-12 05:00:00
1558,2017-09-12 06:00:00
1650,2017-09-12 07:00:00
1701,2017-09-12 08:00:00
1712,2017-09-12 09:00:00
1763,2017-09-12 10:00:00
1807,2017-09-12 11:00:00
1837,2017-09-12 12:00:00
1869,2017-09-12 13:00:00
1884,2017-09-12 14:00:00
1890,2017-09-12 15:00:00
1894,2017-09-12 16:00:00
1875,2017-09-12 17:00:00
1842,2017-09-12 18:00:00
1853,2017-09-12 19:00:00
1849,2017-09-12 20:00:00
1721,2017-09-12 21:00:00
1582,2017-09-12 22:00:00
1457,2017-09-12 23:00:00
1354,2017-09-13 00:00:00
1302,2017-09-13 01:00:00
1267,2017-09-13 02:00:00
1256,2017-09-13 03:00:00
1281,2017-09-13 04:00:00
1379,2017-09-13 05:00:00
1526,2017-09-13 06:00:00
1620,2017-09-13 07:00:00
1691,2017-09-13 08:00:00
1755,2017-09-13 09:00:00
1805,2017-09-13 10:00:00
1826,2017-09-13 11:00:00
1836,2017-09-13 12:00:00
1855,2017-09-13 13:00:00
1861,2017-09-13 14:00:00
1873,2017-09-13 15:00:00
1886,2017-09-13 16:00:00
1878,2017-09-13 17:00:00
1858,2017-09-13 18:00:00
1878,2017-09-13 19:00:00
1868,2017-09-13 20:00:00
1750,2017-09-13 21:00:00
1613,2017-09-13 22:00:00
1491,2017-09-13 23:00:00
1376,2017-09-14 00:00:00
1325,2017-09-14 01:00:00
1290,2017-09-14 02:00:00
1280,2017-09-14 03:00:00
1306,2017-09-14 04:00:00
1400,2017-09-14 05:00:00
1541,2017-09-14 06:00:00
1636,2017-09-14 07:00:00
1717,2017-09-14 08:00:00
1822,2017-09-14 09:00:00
1866,2017-09-14 10:00:00
1869,2017-09-14 11:00:00
1865,2017-09-14 12:00:00
1873,2017-09-14 13:00:00
1879,2017-09-14 14:00:00
1893,2017-09-14 15:00:00
1918,2017-09-14 16:00:00
1932,2017-09-14 17:00:00
1932,2017-09-14 18:00:00
1952,2017-09-14 19:00:00
1919,2017-09-14 20:00:00
1805,2017-09-14 21:00:00
1678,2017-09-14 22:00:00
1557,2017-09-14 23:00:00
1406,2017-09-15 00:00:00
1343,2017-09-15 01:00:00
1306,2017-09-15 02:00:00
1292,2017-09-15 03:00:00
1314,2017-09-15 04:00:00
1401,2017-09-15 05:00:00
1561,2017-09-15 06:00:00
1650,2017-09-15 07:00:00
1709,2017-09-15 08:00:00
1759,2017-09-15 09:00:00
1813,2017-09-15 10:00:00
1851,2017-09-15 11:00:00
1872,2017-09-15 12:00:00
1899,2017-09-15 13:00:00
1903,2017-09-15 14:00:00
1894,2017-09-15 15:00:00
1886,2017-09-15 16:00:00
1843,2017-09-15 17:00:00
1794,2017-09-15 18:00:00
1814,2017-09-15 19:00:00
1794,2017-09-15 20:00:00
1709,2017-09-15 21:00:00
1584,2017-09-15 22:00:00
1466,2017-09-15 23:00:00
1368,2017-09-16 00:00:00
1308,2017-09-16 01:00:00
1271,2017-09-16 02:00:00
1257,2017-09-16 03:00:00
1263,2017-09-16 04:00:00
1294,2017-09-16 05:00:00
1353,2017-09-16 06:00:00
1402,2017-09-16 07:00:00
1494,2017-09-16 08:00:00
1563,2017-09-16 09:00:00
1617,2017-09-16 10:00:00
1650,2017-09-16 11:00:00
1670,2017-09-16 12:00:00
1685,2017-09-16 13:00:00
1692,2017-09-16 14:00:00
1705,2017-09-16 15:00:00
1725,2017-09-16 16:00:00
1722,2017-09-16 17:00:00
1710,2017-09-16 18:00:00
1746,2017-09-16 19:00:00
1730,2017-09-16 20:00:00
1653,2017-09-16 21:00:00
1546,2017-09-16 22:00:00
1450,2017-09-16 23:00:00
