"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"09/28/2002 00:00:00","EDT","CAPITL",61757,1023
"09/28/2002 00:00:00","EDT","CENTRL",61754,1525
"09/28/2002 00:00:00","EDT","DUNWOD",61760,587
"09/28/2002 00:00:00","EDT","GENESE",61753,860
"09/28/2002 00:00:00","EDT","HUD VL",61758,948
"09/28/2002 00:00:00","EDT","MHK VL",61756,603
"09/28/2002 00:00:00","EDT","MILLWD",61759,148
"09/28/2002 00:00:00","EDT","N.Y.C._LONGIL",,7457
"09/28/2002 00:00:00","EDT","NORTH",61755,661
"09/28/2002 00:00:00","EDT","WEST",61752,1550
"09/28/2002 01:00:00","EDT","CAPITL",61757,980
"09/28/2002 01:00:00","EDT","CENTRL",61754,1455
"09/28/2002 01:00:00","EDT","DUNWOD",61760,544
"09/28/2002 01:00:00","EDT","GENESE",61753,820
"09/28/2002 01:00:00","EDT","HUD VL",61758,897
"09/28/2002 01:00:00","EDT","MHK VL",61756,563
"09/28/2002 01:00:00","EDT","MILLWD",61759,139
"09/28/2002 01:00:00","EDT","N.Y.C._LONGIL",,6972
"09/28/2002 01:00:00","EDT","NORTH",61755,659
"09/28/2002 01:00:00","EDT","WEST",61752,1483
"09/28/2002 02:00:00","EDT","CAPITL",61757,941
"09/28/2002 02:00:00","EDT","CENTRL",61754,1423
"09/28/2002 02:00:00","EDT","DUNWOD",61760,523
"09/28/2002 02:00:00","EDT","GENESE",61753,788
"09/28/2002 02:00:00","EDT","HUD VL",61758,865
"09/28/2002 02:00:00","EDT","MHK VL",61756,535
"09/28/2002 02:00:00","EDT","MILLWD",61759,130
"09/28/2002 02:00:00","EDT","N.Y.C._LONGIL",,6654
"09/28/2002 02:00:00","EDT","NORTH",61755,654
"09/28/2002 02:00:00","EDT","WEST",61752,1452
"09/28/2002 03:00:00","EDT","CAPITL",61757,929
"09/28/2002 03:00:00","EDT","CENTRL",61754,1393
"09/28/2002 03:00:00","EDT","DUNWOD",61760,508
"09/28/2002 03:00:00","EDT","GENESE",61753,764
"09/28/2002 03:00:00","EDT","HUD VL",61758,837
"09/28/2002 03:00:00","EDT","MHK VL",61756,519
"09/28/2002 03:00:00","EDT","MILLWD",61759,126
"09/28/2002 03:00:00","EDT","N.Y.C._LONGIL",,6471
"09/28/2002 03:00:00","EDT","NORTH",61755,645
"09/28/2002 03:00:00","EDT","WEST",61752,1430
"09/28/2002 04:00:00","EDT","CAPITL",61757,931
"09/28/2002 04:00:00","EDT","CENTRL",61754,1388
"09/28/2002 04:00:00","EDT","DUNWOD",61760,495
"09/28/2002 04:00:00","EDT","GENESE",61753,765
"09/28/2002 04:00:00","EDT","HUD VL",61758,821
"09/28/2002 04:00:00","EDT","MHK VL",61756,527
"09/28/2002 04:00:00","EDT","MILLWD",61759,125
"09/28/2002 04:00:00","EDT","N.Y.C._LONGIL",,6262
"09/28/2002 04:00:00","EDT","NORTH",61755,650
"09/28/2002 04:00:00","EDT","WEST",61752,1430
"09/28/2002 05:00:00","EDT","CAPITL",61757,955
"09/28/2002 05:00:00","EDT","CENTRL",61754,1430
"09/28/2002 05:00:00","EDT","DUNWOD",61760,498
"09/28/2002 05:00:00","EDT","GENESE",61753,785
"09/28/2002 05:00:00","EDT","HUD VL",61758,833
"09/28/2002 05:00:00","EDT","MHK VL",61756,545
"09/28/2002 05:00:00","EDT","MILLWD",61759,128
"09/28/2002 05:00:00","EDT","N.Y.C._LONGIL",,6213
"09/28/2002 05:00:00","EDT","NORTH",61755,650
"09/28/2002 05:00:00","EDT","WEST",61752,1462
"09/28/2002 06:00:00","EDT","CAPITL",61757,996
"09/28/2002 06:00:00","EDT","CENTRL",61754,1511
"09/28/2002 06:00:00","EDT","DUNWOD",61760,515
"09/28/2002 06:00:00","EDT","GENESE",61753,849
"09/28/2002 06:00:00","EDT","HUD VL",61758,872
"09/28/2002 06:00:00","EDT","MHK VL",61756,589
"09/28/2002 06:00:00","EDT","MILLWD",61759,137
"09/28/2002 06:00:00","EDT","N.Y.C._LONGIL",,6364
"09/28/2002 06:00:00","EDT","NORTH",61755,661
"09/28/2002 06:00:00","EDT","WEST",61752,1528
"09/28/2002 07:00:00","EDT","CAPITL",61757,1061
"09/28/2002 07:00:00","EDT","CENTRL",61754,1591
"09/28/2002 07:00:00","EDT","DUNWOD",61760,550
"09/28/2002 07:00:00","EDT","GENESE",61753,901
"09/28/2002 07:00:00","EDT","HUD VL",61758,916
"09/28/2002 07:00:00","EDT","MHK VL",61756,648
"09/28/2002 07:00:00","EDT","MILLWD",61759,157
"09/28/2002 07:00:00","EDT","N.Y.C._LONGIL",,6675
"09/28/2002 07:00:00","EDT","NORTH",61755,682
"09/28/2002 07:00:00","EDT","WEST",61752,1602
"09/28/2002 08:00:00","EDT","CAPITL",61757,1162
"09/28/2002 08:00:00","EDT","CENTRL",61754,1724
"09/28/2002 08:00:00","EDT","DUNWOD",61760,614
"09/28/2002 08:00:00","EDT","GENESE",61753,983
"09/28/2002 08:00:00","EDT","HUD VL",61758,1013
"09/28/2002 08:00:00","EDT","MHK VL",61756,726
"09/28/2002 08:00:00","EDT","MILLWD",61759,185
"09/28/2002 08:00:00","EDT","N.Y.C._LONGIL",,7298
"09/28/2002 08:00:00","EDT","NORTH",61755,696
"09/28/2002 08:00:00","EDT","WEST",61752,1694
"09/28/2002 09:00:00","EDT","CAPITL",61757,1238
"09/28/2002 09:00:00","EDT","CENTRL",61754,1826
"09/28/2002 09:00:00","EDT","DUNWOD",61760,651
"09/28/2002 09:00:00","EDT","GENESE",61753,1042
"09/28/2002 09:00:00","EDT","HUD VL",61758,1085
"09/28/2002 09:00:00","EDT","MHK VL",61756,774
"09/28/2002 09:00:00","EDT","MILLWD",61759,204
"09/28/2002 09:00:00","EDT","N.Y.C._LONGIL",,7821
"09/28/2002 09:00:00","EDT","NORTH",61755,707
"09/28/2002 09:00:00","EDT","WEST",61752,1770
"09/28/2002 10:00:00","EDT","CAPITL",61757,1255
"09/28/2002 10:00:00","EDT","CENTRL",61754,1866
"09/28/2002 10:00:00","EDT","DUNWOD",61760,685
"09/28/2002 10:00:00","EDT","GENESE",61753,1052
"09/28/2002 10:00:00","EDT","HUD VL",61758,1118
"09/28/2002 10:00:00","EDT","MHK VL",61756,768
"09/28/2002 10:00:00","EDT","MILLWD",61759,215
"09/28/2002 10:00:00","EDT","N.Y.C._LONGIL",,8232
"09/28/2002 10:00:00","EDT","NORTH",61755,722
"09/28/2002 10:00:00","EDT","WEST",61752,1801
"09/28/2002 11:00:00","EDT","CAPITL",61757,1249
"09/28/2002 11:00:00","EDT","CENTRL",61754,1846
"09/28/2002 11:00:00","EDT","DUNWOD",61760,708
"09/28/2002 11:00:00","EDT","GENESE",61753,1046
"09/28/2002 11:00:00","EDT","HUD VL",61758,1130
"09/28/2002 11:00:00","EDT","MHK VL",61756,770
"09/28/2002 11:00:00","EDT","MILLWD",61759,214
"09/28/2002 11:00:00","EDT","N.Y.C._LONGIL",,8428
"09/28/2002 11:00:00","EDT","NORTH",61755,710
"09/28/2002 11:00:00","EDT","WEST",61752,1794
"09/28/2002 12:00:00","EDT","CAPITL",61757,1230
"09/28/2002 12:00:00","EDT","CENTRL",61754,1821
"09/28/2002 12:00:00","EDT","DUNWOD",61760,713
"09/28/2002 12:00:00","EDT","GENESE",61753,1029
"09/28/2002 12:00:00","EDT","HUD VL",61758,1121
"09/28/2002 12:00:00","EDT","MHK VL",61756,757
"09/28/2002 12:00:00","EDT","MILLWD",61759,213
"09/28/2002 12:00:00","EDT","N.Y.C._LONGIL",,8491
"09/28/2002 12:00:00","EDT","NORTH",61755,705
"09/28/2002 12:00:00","EDT","WEST",61752,1777
"09/28/2002 13:00:00","EDT","CAPITL",61757,1199
"09/28/2002 13:00:00","EDT","CENTRL",61754,1780
"09/28/2002 13:00:00","EDT","DUNWOD",61760,706
"09/28/2002 13:00:00","EDT","GENESE",61753,1013
"09/28/2002 13:00:00","EDT","HUD VL",61758,1110
"09/28/2002 13:00:00","EDT","MHK VL",61756,742
"09/28/2002 13:00:00","EDT","MILLWD",61759,208
"09/28/2002 13:00:00","EDT","N.Y.C._LONGIL",,8473
"09/28/2002 13:00:00","EDT","NORTH",61755,697
"09/28/2002 13:00:00","EDT","WEST",61752,1767
"09/28/2002 14:00:00","EDT","CAPITL",61757,1178
"09/28/2002 14:00:00","EDT","CENTRL",61754,1767
"09/28/2002 14:00:00","EDT","DUNWOD",61760,700
"09/28/2002 14:00:00","EDT","GENESE",61753,996
"09/28/2002 14:00:00","EDT","HUD VL",61758,1103
"09/28/2002 14:00:00","EDT","MHK VL",61756,712
"09/28/2002 14:00:00","EDT","MILLWD",61759,204
"09/28/2002 14:00:00","EDT","N.Y.C._LONGIL",,8444
"09/28/2002 14:00:00","EDT","NORTH",61755,687
"09/28/2002 14:00:00","EDT","WEST",61752,1735
"09/28/2002 15:00:00","EDT","CAPITL",61757,1167
"09/28/2002 15:00:00","EDT","CENTRL",61754,1741
"09/28/2002 15:00:00","EDT","DUNWOD",61760,695
"09/28/2002 15:00:00","EDT","GENESE",61753,989
"09/28/2002 15:00:00","EDT","HUD VL",61758,1094
"09/28/2002 15:00:00","EDT","MHK VL",61756,701
"09/28/2002 15:00:00","EDT","MILLWD",61759,199
"09/28/2002 15:00:00","EDT","N.Y.C._LONGIL",,8376
"09/28/2002 15:00:00","EDT","NORTH",61755,686
"09/28/2002 15:00:00","EDT","WEST",61752,1716
"09/28/2002 16:00:00","EDT","CAPITL",61757,1169
"09/28/2002 16:00:00","EDT","CENTRL",61754,1737
"09/28/2002 16:00:00","EDT","DUNWOD",61760,689
"09/28/2002 16:00:00","EDT","GENESE",61753,985
"09/28/2002 16:00:00","EDT","HUD VL",61758,1098
"09/28/2002 16:00:00","EDT","MHK VL",61756,705
"09/28/2002 16:00:00","EDT","MILLWD",61759,203
"09/28/2002 16:00:00","EDT","N.Y.C._LONGIL",,8359
"09/28/2002 16:00:00","EDT","NORTH",61755,687
"09/28/2002 16:00:00","EDT","WEST",61752,1714
"09/28/2002 17:00:00","EDT","CAPITL",61757,1182
"09/28/2002 17:00:00","EDT","CENTRL",61754,1749
"09/28/2002 17:00:00","EDT","DUNWOD",61760,684
"09/28/2002 17:00:00","EDT","GENESE",61753,987
"09/28/2002 17:00:00","EDT","HUD VL",61758,1102
"09/28/2002 17:00:00","EDT","MHK VL",61756,709
"09/28/2002 17:00:00","EDT","MILLWD",61759,206
"09/28/2002 17:00:00","EDT","N.Y.C._LONGIL",,8284
"09/28/2002 17:00:00","EDT","NORTH",61755,693
"09/28/2002 17:00:00","EDT","WEST",61752,1714
"09/28/2002 18:00:00","EDT","CAPITL",61757,1197
"09/28/2002 18:00:00","EDT","CENTRL",61754,1764
"09/28/2002 18:00:00","EDT","DUNWOD",61760,693
"09/28/2002 18:00:00","EDT","GENESE",61753,991
"09/28/2002 18:00:00","EDT","HUD VL",61758,1122
"09/28/2002 18:00:00","EDT","MHK VL",61756,717
"09/28/2002 18:00:00","EDT","MILLWD",61759,211
"09/28/2002 18:00:00","EDT","N.Y.C._LONGIL",,8258
"09/28/2002 18:00:00","EDT","NORTH",61755,700
"09/28/2002 18:00:00","EDT","WEST",61752,1696
"09/28/2002 19:00:00","EDT","CAPITL",61757,1261
"09/28/2002 19:00:00","EDT","CENTRL",61754,1862
"09/28/2002 19:00:00","EDT","DUNWOD",61760,730
"09/28/2002 19:00:00","EDT","GENESE",61753,1067
"09/28/2002 19:00:00","EDT","HUD VL",61758,1185
"09/28/2002 19:00:00","EDT","MHK VL",61756,774
"09/28/2002 19:00:00","EDT","MILLWD",61759,230
"09/28/2002 19:00:00","EDT","N.Y.C._LONGIL",,8570
"09/28/2002 19:00:00","EDT","NORTH",61755,710
"09/28/2002 19:00:00","EDT","WEST",61752,1796
"09/28/2002 20:00:00","EDT","CAPITL",61757,1230
"09/28/2002 20:00:00","EDT","CENTRL",61754,1852
"09/28/2002 20:00:00","EDT","DUNWOD",61760,718
"09/28/2002 20:00:00","EDT","GENESE",61753,1062
"09/28/2002 20:00:00","EDT","HUD VL",61758,1161
"09/28/2002 20:00:00","EDT","MHK VL",61756,755
"09/28/2002 20:00:00","EDT","MILLWD",61759,222
"09/28/2002 20:00:00","EDT","N.Y.C._LONGIL",,8381
"09/28/2002 20:00:00","EDT","NORTH",61755,701
"09/28/2002 20:00:00","EDT","WEST",61752,1813
"09/28/2002 21:00:00","EDT","CAPITL",61757,1169
"09/28/2002 21:00:00","EDT","CENTRL",61754,1772
"09/28/2002 21:00:00","EDT","DUNWOD",61760,687
"09/28/2002 21:00:00","EDT","GENESE",61753,1013
"09/28/2002 21:00:00","EDT","HUD VL",61758,1106
"09/28/2002 21:00:00","EDT","MHK VL",61756,716
"09/28/2002 21:00:00","EDT","MILLWD",61759,203
"09/28/2002 21:00:00","EDT","N.Y.C._LONGIL",,8088
"09/28/2002 21:00:00","EDT","NORTH",61755,691
"09/28/2002 21:00:00","EDT","WEST",61752,1755
"09/28/2002 22:00:00","EDT","CAPITL",61757,1091
"09/28/2002 22:00:00","EDT","CENTRL",61754,1644
"09/28/2002 22:00:00","EDT","DUNWOD",61760,643
"09/28/2002 22:00:00","EDT","GENESE",61753,939
"09/28/2002 22:00:00","EDT","HUD VL",61758,1024
"09/28/2002 22:00:00","EDT","MHK VL",61756,648
"09/28/2002 22:00:00","EDT","MILLWD",61759,178
"09/28/2002 22:00:00","EDT","N.Y.C._LONGIL",,7644
"09/28/2002 22:00:00","EDT","NORTH",61755,675
"09/28/2002 22:00:00","EDT","WEST",61752,1667
"09/28/2002 23:00:00","EDT","CAPITL",61757,1011
"09/28/2002 23:00:00","EDT","CENTRL",61754,1533
"09/28/2002 23:00:00","EDT","DUNWOD",61760,594
"09/28/2002 23:00:00","EDT","GENESE",61753,859
"09/28/2002 23:00:00","EDT","HUD VL",61758,932
"09/28/2002 23:00:00","EDT","MHK VL",61756,579
"09/28/2002 23:00:00","EDT","MILLWD",61759,153
"09/28/2002 23:00:00","EDT","N.Y.C._LONGIL",,7103
"09/28/2002 23:00:00","EDT","NORTH",61755,665
"09/28/2002 23:00:00","EDT","WEST",61752,1552
