"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"07/14/2001 00:00",1053,1492,529,904,1061,2207,668,335,5469,641,1569,15928
"07/14/2001 01:00",1004,1430,485,833,995,2027,625,318,5145,636,1499,14997
"07/14/2001 02:00",975,1385,460,804,960,1914,598,311,4919,632,1458,14416
"07/14/2001 03:00",956,1360,446,874,937,1849,591,306,4773,625,1434,14151
"07/14/2001 04:00",960,1365,439,863,934,1814,586,305,4687,629,1428,14010
"07/14/2001 05:00",973,1380,435,866,926,1789,594,309,4653,633,1441,13999
"07/14/2001 06:00",996,1418,447,873,954,1837,624,316,4764,641,1456,14326
"07/14/2001 07:00",1097,1541,504,921,1049,2134,698,338,5086,661,1535,15564
"07/14/2001 08:00",1213,1685,593,1009,1175,2418,796,366,5524,676,1706,17161
"07/14/2001 09:00",1291,1780,646,1090,1279,2705,847,395,5941,687,1736,18397
"07/14/2001 10:00",1328,1836,688,1131,1351,2909,865,412,6246,695,1785,19246
"07/14/2001 11:00",1332,1843,708,1145,1392,3052,870,417,6414,689,1800,19662
"07/14/2001 12:00",1315,1839,718,1134,1410,3110,849,418,6462,689,1857,19801
"07/14/2001 13:00",1300,1812,722,1146,1425,3157,843,418,6448,684,1856,19811
"07/14/2001 14:00",1284,1791,727,1122,1430,3181,833,424,6438,679,1835,19744
"07/14/2001 15:00",1265,1778,728,1122,1437,3198,828,428,6425,675,1826,19710
"07/14/2001 16:00",1270,1779,734,1134,1453,3230,839,428,6407,678,1755,19707
"07/14/2001 17:00",1285,1771,734,1142,1452,3234,848,432,6359,679,1756,19692
"07/14/2001 18:00",1281,1754,724,1128,1428,3015,848,433,6238,681,1797,19327
"07/14/2001 19:00",1269,1725,708,1123,1397,3051,831,426,6127,679,1719,19055
"07/14/2001 20:00",1300,1745,727,1116,1418,3022,843,424,6135,679,1786,19195
"07/14/2001 21:00",1290,1765,730,1150,1403,3042,855,427,6120,677,1825,19284
"07/14/2001 22:00",1243,1669,693,1078,1313,2850,812,402,5961,664,1742,18427
"07/14/2001 23:00",1127,1559,633,1021,1202,2507,736,377,5699,647,1621,17129
"07/15/2001 00:00",1039,1493,559,885,1078,2230,657,173,5316,652,1459,15541
"07/15/2001 01:00",988,1441,511,842,1014,2056,621,165,5021,647,1397,14703
"07/15/2001 02:00",957,1397,487,814,975,1945,593,150,4805,642,1359,14124
"07/15/2001 03:00",941,1372,474,795,950,1878,584,146,4662,638,1336,13776
"07/15/2001 04:00",944,1371,466,784,936,1838,577,144,4579,644,1331,13614
"07/15/2001 05:00",947,1364,460,783,930,1804,576,142,4529,644,1322,13501
"07/15/2001 06:00",951,1369,465,791,938,1813,586,144,4565,647,1309,13578
"07/15/2001 07:00",1023,1458,499,846,1007,1940,642,154,4746,664,1353,14332
"07/15/2001 08:00",1126,1590,562,936,1120,2181,741,173,5046,679,1440,15594
"07/15/2001 09:00",1203,1693,618,1015,1224,2429,804,191,5366,691,1524,16758
"07/15/2001 10:00",1254,1762,657,1062,1299,2650,836,203,5696,694,1576,17689
"07/15/2001 11:00",1280,1801,683,1095,1353,2814,850,211,5916,694,1618,18315
"07/15/2001 12:00",1290,1824,697,1110,1388,2902,839,215,6020,693,1644,18622
"07/15/2001 13:00",1283,1809,703,1116,1405,2944,839,217,6060,690,1655,18721
"07/15/2001 14:00",1273,1793,708,1110,1413,2964,825,219,6076,685,1659,18725
"07/15/2001 15:00",1258,1782,706,1107,1419,2970,820,218,6084,682,1652,18698
"07/15/2001 16:00",1264,1792,711,1106,1431,2982,831,220,6077,684,1658,18756
"07/15/2001 17:00",1287,1803,714,1108,1432,2974,843,221,6054,684,1662,18782
"07/15/2001 18:00",1286,1793,709,1094,1410,2913,843,219,5981,685,1650,18583
"07/15/2001 19:00",1291,1781,705,1081,1385,2861,840,218,5965,686,1641,18454
"07/15/2001 20:00",1339,1824,734,1114,1411,2966,861,227,6107,689,1694,18966
"07/15/2001 21:00",1318,1837,732,1135,1383,2948,859,226,6141,690,1757,19026
"07/15/2001 22:00",1219,1737,682,1071,1283,2742,798,211,5968,679,1703,18093
"07/15/2001 23:00",1134,1616,607,986,1165,2453,714,187,5642,658,1601,16763
"07/16/2001 00:00",1066,1507,586,909,1070,2139,659,173,5332,644,1498,15583
"07/16/2001 01:00",1023,1470,547,873,1008,1991,632,161,5064,639,1457,14865
"07/16/2001 02:00",998,1435,528,854,977,1901,616,156,4886,635,1436,14422
"07/16/2001 03:00",985,1422,519,842,961,1861,613,156,4801,630,1426,14216
"07/16/2001 04:00",1003,1450,518,854,960,1857,622,156,4810,637,1446,14313
"07/16/2001 05:00",1067,1532,544,913,997,1912,666,160,5025,649,1497,14962
"07/16/2001 06:00",1203,1695,618,1041,1100,2105,768,182,5611,673,1616,16612
"07/16/2001 07:00",1364,1886,723,1156,1252,2435,882,213,6432,698,1833,18874
"07/16/2001 08:00",1478,2028,801,1259,1380,2748,969,236,7121,705,1978,20703
"07/16/2001 09:00",1532,2106,853,1323,1477,2993,1002,252,7605,707,2071,21921
"07/16/2001 10:00",1582,2178,890,1374,1559,3187,1024,263,7861,714,2140,22772
"07/16/2001 11:00",1603,2214,912,1400,1617,3324,1028,269,8029,714,2184,23294
"07/16/2001 12:00",1605,2228,923,1413,1648,3407,1010,272,8100,710,2200,23516
"07/16/2001 13:00",1616,2230,933,1426,1684,3482,1019,275,8184,711,2229,23789
"07/16/2001 14:00",1616,2224,941,1425,1697,3540,1010,278,8224,706,2221,23882
"07/16/2001 15:00",1611,2206,946,1412,1704,3573,1002,279,8255,704,2202,23894
"07/16/2001 16:00",1607,2191,946,1403,1707,3592,1003,279,8249,703,2177,23857
"07/16/2001 17:00",1596,2156,934,1376,1681,3552,1002,275,8070,702,2137,23481
"07/16/2001 18:00",1568,2112,902,1331,1630,3467,983,266,7620,700,2083,22662
"07/16/2001 19:00",1540,2061,873,1291,1587,3329,961,257,7329,699,2040,21967
"07/16/2001 20:00",1546,2070,875,1306,1591,3344,972,258,7224,700,2055,21941
"07/16/2001 21:00",1505,2058,845,1302,1531,3251,958,249,7058,696,2073,21526
"07/16/2001 22:00",1379,1911,762,1187,1389,2931,880,225,6684,684,1958,19990
"07/16/2001 23:00",1239,1754,666,1064,1238,2573,784,196,6168,664,1800,18146
"07/17/2001 00:00",1169,1642,614,993,1134,2362,738,179,5678,673,1652,16834
"07/17/2001 01:00",1113,1580,572,942,1061,2198,699,166,5350,667,1584,15932
"07/17/2001 02:00",1084,1528,550,914,1021,2101,678,160,5142,660,1540,15378
"07/17/2001 03:00",1065,1505,539,894,996,2033,671,157,5033,655,1517,15065
"07/17/2001 04:00",1074,1524,534,902,994,1984,679,155,5018,661,1529,15054
"07/17/2001 05:00",1131,1606,555,959,1025,2014,729,161,5219,672,1577,15648
"07/17/2001 06:00",1263,1770,630,1083,1131,2201,833,183,5817,693,1689,17293
"07/17/2001 07:00",1433,1957,741,1211,1284,2538,939,215,6663,715,1877,19573
"07/17/2001 08:00",1540,2089,813,1312,1410,2858,1018,236,7352,718,2017,21363
"07/17/2001 09:00",1602,2179,862,1376,1506,3115,1044,251,7830,719,2108,22592
"07/17/2001 10:00",1655,2253,895,1431,1590,3322,1067,260,8086,722,2177,23458
"07/17/2001 11:00",1680,2294,914,1466,1647,3478,1075,266,8261,723,2219,24023
"07/17/2001 12:00",1690,2315,923,1487,1680,3577,1062,268,8340,721,2238,24301
"07/17/2001 13:00",1705,2329,934,1506,1719,3671,1075,272,8438,720,2273,24642
"07/17/2001 14:00",1711,2331,941,1511,1738,3740,1067,274,8492,718,2268,24791
"07/17/2001 15:00",1715,2323,948,1504,1750,3789,1060,276,8535,716,2251,24867
"07/17/2001 16:00",1718,2309,949,1497,1757,3817,1064,276,8536,717,2232,24872
"07/17/2001 17:00",1705,2268,933,1468,1731,3771,1062,271,8364,719,2193,24485
"07/17/2001 18:00",1669,2218,897,1419,1680,3653,1040,261,7896,714,2141,23588
"07/17/2001 19:00",1635,2162,863,1373,1632,3522,1019,251,7582,712,2094,22845
"07/17/2001 20:00",1637,2160,863,1378,1632,3532,1030,251,7449,714,2110,22756
"07/17/2001 21:00",1599,2146,833,1371,1575,3430,1015,242,7291,712,2136,22350
"07/17/2001 22:00",1476,1993,752,1254,1431,3109,935,219,6920,702,2020,20811
