"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"01/23/2013 00:00",1280,1858,605,1062,1037,2185,904,334,5187,851,1825,17128
"01/23/2013 01:00",1249,1823,587,1039,1011,2109,877,320,4980,842,1790,16627
"01/23/2013 02:00",1239,1808,570,1028,999,2068,869,320,4852,837,1774,16364
"01/23/2013 03:00",1242,1796,562,1031,1002,2051,868,323,4796,841,1769,16281
"01/23/2013 04:00",1290,1848,573,1055,1021,2101,892,329,4840,850,1804,16603
"01/23/2013 05:00",1362,1956,609,1125,1084,2227,943,350,5101,858,1887,17502
"01/23/2013 06:00",1526,2154,685,1238,1187,2467,1045,387,5624,887,2037,19237
"01/23/2013 07:00",1617,2283,754,1322,1259,2646,1116,410,6207,909,2160,20683
"01/23/2013 08:00",1615,2290,779,1327,1288,2721,1117,407,6600,914,2184,21242
"01/23/2013 09:00",1617,2289,792,1335,1309,2776,1117,401,6872,908,2200,21616
"01/23/2013 10:00",1620,2289,799,1343,1323,2799,1118,398,6998,910,2213,21810
"01/23/2013 11:00",1608,2279,802,1340,1330,2795,1112,392,7049,910,2213,21830
"01/23/2013 12:00",1593,2257,793,1328,1321,2774,1097,393,7055,907,2195,21713
"01/23/2013 13:00",1568,2240,793,1321,1313,2752,1089,386,7038,904,2183,21587
"01/23/2013 14:00",1545,2202,789,1304,1301,2748,1074,383,7012,905,2161,21424
"01/23/2013 15:00",1547,2185,791,1292,1300,2766,1069,391,7012,904,2137,21394
"01/23/2013 16:00",1591,2205,812,1306,1330,2851,1090,402,7087,910,2151,21735
"01/23/2013 17:00",1738,2349,866,1393,1444,3112,1168,447,7246,935,2242,22940
"01/23/2013 18:00",1784,2425,888,1441,1497,3232,1198,474,7219,936,2309,23403
"01/23/2013 19:00",1749,2417,872,1423,1472,3172,1184,470,7033,931,2296,23019
"01/23/2013 20:00",1694,2347,842,1381,1427,3070,1150,456,6801,921,2251,22340
"01/23/2013 21:00",1602,2231,793,1315,1344,2903,1090,439,6529,903,2172,21321
"01/23/2013 22:00",1482,2081,733,1218,1238,2674,1022,407,6168,883,2060,19966
"01/23/2013 23:00",1380,1952,669,1132,1139,2435,963,372,5720,866,1931,18559
"01/24/2013 00:00",1309,1864,607,1064,1067,2233,916,339,5311,853,1831,17394
"01/24/2013 01:00",1283,1833,589,1042,1037,2140,889,324,5087,842,1798,16864
"01/24/2013 02:00",1277,1823,574,1030,1023,2090,880,325,4952,835,1782,16591
"01/24/2013 03:00",1282,1817,566,1032,1025,2072,879,329,4892,843,1777,16514
"01/24/2013 04:00",1328,1868,579,1056,1050,2132,903,339,4941,857,1809,16862
"01/24/2013 05:00",1406,1977,615,1127,1110,2255,955,358,5201,857,1893,17754
"01/24/2013 06:00",1573,2176,692,1242,1217,2502,1058,397,5718,886,2044,19505
"01/24/2013 07:00",1660,2307,761,1326,1287,2683,1130,421,6297,907,2167,20946
"01/24/2013 08:00",1649,2312,784,1333,1313,2760,1130,417,6690,912,2195,21495
"01/24/2013 09:00",1640,2308,796,1343,1329,2814,1126,408,6959,905,2214,21842
"01/24/2013 10:00",1629,2305,803,1352,1335,2835,1124,399,7084,908,2230,22004
"01/24/2013 11:00",1605,2291,804,1349,1335,2832,1116,390,7135,907,2230,21994
"01/24/2013 12:00",1582,2265,796,1337,1319,2804,1098,387,7139,903,2209,21839
"01/24/2013 13:00",1552,2245,795,1329,1306,2774,1089,380,7121,900,2199,21690
"01/24/2013 14:00",1525,2204,788,1311,1293,2760,1073,375,7094,900,2181,21504
"01/24/2013 15:00",1524,2185,790,1299,1289,2767,1068,381,7088,899,2160,21450
"01/24/2013 16:00",1562,2202,811,1312,1318,2843,1087,392,7149,905,2174,21755
"01/24/2013 17:00",1718,2348,867,1396,1437,3113,1166,442,7305,931,2261,22984
"01/24/2013 18:00",1777,2438,893,1443,1502,3249,1202,474,7289,933,2323,23523
"01/24/2013 19:00",1754,2440,880,1424,1487,3198,1192,475,7110,929,2308,23197
"01/24/2013 20:00",1706,2377,851,1384,1446,3102,1164,463,6881,920,2263,22557
"01/24/2013 21:00",1618,2265,803,1319,1366,2931,1106,446,6612,904,2183,21553
"01/24/2013 22:00",1498,2115,742,1221,1261,2696,1041,415,6260,883,2072,20204
"01/24/2013 23:00",1397,1986,676,1135,1161,2448,981,377,5818,866,1944,18789
"01/25/2013 00:00",1327,1880,614,1061,1084,2243,925,343,5372,851,1834,17534
"01/25/2013 01:00",1290,1835,595,1029,1047,2128,884,320,5137,837,1793,16895
"01/25/2013 02:00",1278,1815,578,1012,1031,2065,870,320,4988,834,1773,16564
"01/25/2013 03:00",1283,1804,568,1010,1033,2040,868,326,4919,837,1765,16453
"01/25/2013 04:00",1334,1868,580,1033,1053,2099,895,340,4949,854,1789,16794
"01/25/2013 05:00",1397,1967,615,1098,1111,2209,940,354,5198,858,1871,17618
"01/25/2013 06:00",1563,2175,693,1211,1217,2455,1049,396,5703,891,2018,19371
"01/25/2013 07:00",1653,2306,765,1297,1290,2644,1127,422,6273,914,2138,20829
"01/25/2013 08:00",1645,2306,790,1301,1320,2729,1124,417,6664,916,2159,21371
"01/25/2013 09:00",1634,2295,802,1306,1336,2784,1114,406,6934,904,2173,21688
"01/25/2013 10:00",1616,2283,808,1311,1343,2809,1102,395,7060,900,2184,21811
"01/25/2013 11:00",1585,2259,808,1303,1339,2802,1087,384,7103,894,2180,21744
"01/25/2013 12:00",1553,2222,795,1286,1321,2774,1062,381,7090,886,2154,21524
"01/25/2013 13:00",1517,2190,793,1276,1305,2741,1045,371,7053,880,2138,21309
"01/25/2013 14:00",1484,2137,783,1253,1284,2724,1022,366,7009,877,2112,21051
"01/25/2013 15:00",1475,2103,781,1233,1274,2723,1011,370,6981,873,2080,20904
"01/25/2013 16:00",1499,2104,795,1235,1293,2783,1026,382,7024,879,2084,21104
"01/25/2013 17:00",1642,2240,845,1315,1398,3020,1108,429,7161,909,2167,22234
"01/25/2013 18:00",1691,2325,867,1365,1451,3124,1147,457,7132,913,2236,22708
"01/25/2013 19:00",1661,2318,849,1344,1429,3048,1138,452,6937,910,2220,22306
"01/25/2013 20:00",1624,2268,821,1313,1395,2949,1115,440,6707,903,2189,21724
"01/25/2013 21:00",1562,2176,781,1264,1333,2814,1069,427,6473,889,2130,20918
"01/25/2013 22:00",1464,2041,734,1178,1244,2621,1008,399,6193,868,2036,19786
"01/25/2013 23:00",1371,1907,674,1091,1148,2393,945,361,5819,849,1910,18468
"01/26/2013 00:00",1298,1806,617,1023,1079,2213,893,336,5393,841,1798,17297
"01/26/2013 01:00",1271,1768,602,996,1050,2124,860,319,5197,836,1758,16781
"01/26/2013 02:00",1260,1753,586,981,1034,2070,848,319,5057,836,1736,16480
"01/26/2013 03:00",1250,1730,575,973,1029,2037,840,319,4982,834,1721,16290
"01/26/2013 04:00",1237,1705,564,948,1012,2007,834,312,4868,827,1701,16015
"01/26/2013 05:00",1258,1741,566,968,1038,2035,859,317,4827,832,1717,16158
"01/26/2013 06:00",1339,1827,593,1017,1091,2163,902,334,4934,847,1770,16817
"01/26/2013 07:00",1429,1944,646,1093,1160,2343,966,361,5236,871,1855,17904
"01/26/2013 08:00",1482,2018,683,1131,1217,2493,1007,376,5543,888,1907,18745
"01/26/2013 09:00",1510,2062,709,1160,1256,2599,1031,381,5835,886,1946,19375
"01/26/2013 10:00",1514,2069,721,1174,1277,2650,1033,381,6009,885,1963,19676
"01/26/2013 11:00",1496,2057,727,1171,1284,2656,1022,376,6081,879,1962,19711
"01/26/2013 12:00",1467,2025,717,1151,1267,2618,999,372,6073,870,1934,19493
"01/26/2013 13:00",1433,1991,714,1135,1248,2566,979,361,6037,862,1913,19239
"01/26/2013 14:00",1409,1953,702,1117,1230,2528,960,354,5992,858,1896,18999
"01/26/2013 15:00",1410,1943,698,1111,1227,2515,955,355,5957,855,1881,18907
"01/26/2013 16:00",1452,1973,718,1137,1254,2580,979,364,6018,861,1908,19244
"01/26/2013 17:00",1596,2125,778,1230,1359,2816,1066,407,6291,894,2007,20569
"01/26/2013 18:00",1651,2216,813,1288,1418,2942,1109,433,6431,896,2086,21283
"01/26/2013 19:00",1622,2212,807,1274,1399,2903,1096,431,6383,893,2083,21103
"01/26/2013 20:00",1587,2167,792,1245,1371,2848,1072,424,6277,886,2058,20727
"01/26/2013 21:00",1536,2092,768,1206,1321,2765,1030,420,6162,875,2011,20186
"01/26/2013 22:00",1455,1990,735,1139,1248,2625,977,404,6012,858,1946,19389
"01/26/2013 23:00",1373,1888,688,1070,1166,2437,927,379,5777,843,1852,18400
"01/27/2013 00:00",1294,1782,624,1001,1082,2226,880,346,5394,832,1742,17203
"01/27/2013 01:00",1266,1757,606,976,1050,2133,852,325,5193,829,1709,16696
"01/27/2013 02:00",1254,1746,588,960,1031,2073,842,323,5045,828,1690,16380
"01/27/2013 03:00",1244,1723,576,953,1025,2039,834,322,4969,825,1679,16189
"01/27/2013 04:00",1222,1682,564,920,1003,2002,818,314,4852,815,1652,15844
"01/27/2013 05:00",1222,1694,560,922,1019,2001,836,318,4770,817,1646,15805
"01/27/2013 06:00",1290,1761,576,956,1057,2087,871,331,4805,829,1679,16242
"01/27/2013 07:00",1377,1866,617,1022,1116,2221,929,354,5032,850,1748,17132
"01/27/2013 08:00",1424,1932,645,1052,1171,2342,972,365,5292,866,1790,17851
"01/27/2013 09:00",1451,1974,666,1075,1208,2438,998,370,5574,866,1821,18441
"01/27/2013 10:00",1458,1991,682,1093,1229,2497,1006,368,5765,868,1842,18799
"01/27/2013 11:00",1449,1995,691,1103,1239,2520,1002,362,5868,865,1853,18947
"01/27/2013 12:00",1424,1974,684,1095,1223,2504,984,360,5895,857,1836,18836
