"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"02/07/2014 00:00:00","EST","CAPITL",61757,1375
"02/07/2014 00:00:00","EST","CENTRL",61754,1906
"02/07/2014 00:00:00","EST","DUNWOD",61760,644.1
"02/07/2014 00:00:00","EST","GENESE",61753,1087.8
"02/07/2014 00:00:00","EST","HUD VL",61758,1104.7
"02/07/2014 00:00:00","EST","LONGIL",61762,2154.6
"02/07/2014 00:00:00","EST","MHK VL",61756,1062.2
"02/07/2014 00:00:00","EST","MILLWD",61759,320.1
"02/07/2014 00:00:00","EST","N.Y.C.",61761,5258.6
"02/07/2014 00:00:00","EST","NORTH",61755,751.1
"02/07/2014 00:00:00","EST","WEST",61752,1787.6
"02/07/2014 01:00:00","EST","CAPITL",61757,1349.8
"02/07/2014 01:00:00","EST","CENTRL",61754,1872
"02/07/2014 01:00:00","EST","DUNWOD",61760,609.4
"02/07/2014 01:00:00","EST","GENESE",61753,1067.8
"02/07/2014 01:00:00","EST","HUD VL",61758,1061
"02/07/2014 01:00:00","EST","LONGIL",61762,2060.3
"02/07/2014 01:00:00","EST","MHK VL",61756,1039.7
"02/07/2014 01:00:00","EST","MILLWD",61759,316.2
"02/07/2014 01:00:00","EST","N.Y.C.",61761,5019.6
"02/07/2014 01:00:00","EST","NORTH",61755,744.1
"02/07/2014 01:00:00","EST","WEST",61752,1762.1
"02/07/2014 02:00:00","EST","CAPITL",61757,1332.3
"02/07/2014 02:00:00","EST","CENTRL",61754,1862
"02/07/2014 02:00:00","EST","DUNWOD",61760,604
"02/07/2014 02:00:00","EST","GENESE",61753,1062.2
"02/07/2014 02:00:00","EST","HUD VL",61758,1038.9
"02/07/2014 02:00:00","EST","LONGIL",61762,2011.7
"02/07/2014 02:00:00","EST","MHK VL",61756,1037.1
"02/07/2014 02:00:00","EST","MILLWD",61759,318.9
"02/07/2014 02:00:00","EST","N.Y.C.",61761,4885.2
"02/07/2014 02:00:00","EST","NORTH",61755,738.8
"02/07/2014 02:00:00","EST","WEST",61752,1762.3
"02/07/2014 03:00:00","EST","CAPITL",61757,1341.9
