"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"08/25/2008 00:00",1150,1682,650,1006,1108,2351,671,260,6120,706,1612,17316
"08/25/2008 01:00",1071,1534,616,922,1040,2221,629,241,5801,693,1522,16290
"08/25/2008 02:00",1027,1456,605,868,985,2148,605,227,5532,688,1472,15613
"08/25/2008 03:00",1008,1434,599,853,952,2107,597,218,5379,683,1460,15290
"08/25/2008 04:00",1019,1453,590,858,936,2103,606,216,5345,686,1467,15279
"08/25/2008 05:00",1072,1549,607,911,960,2149,641,224,5558,700,1535,15906
"08/25/2008 06:00",1184,1688,653,1002,1011,2279,706,255,5995,711,1652,17136
"08/25/2008 07:00",1328,1830,722,1093,1109,2533,779,291,6680,731,1755,18851
"08/25/2008 08:00",1433,1938,801,1167,1228,2855,843,329,7363,750,1853,20560
"08/25/2008 09:00",1511,1984,856,1213,1316,3146,879,352,7929,754,1927,21867
"08/25/2008 10:00",1567,2034,909,1257,1393,3388,905,370,8302,759,1981,22865
"08/25/2008 11:00",1600,2051,939,1285,1468,3595,918,391,8559,764,2006,23576
"08/25/2008 12:00",1614,2054,965,1296,1509,3750,918,409,8721,764,2007,24007
"08/25/2008 13:00",1617,2066,987,1304,1539,3863,916,430,8834,760,2030,24346
"08/25/2008 14:00",1621,2053,1007,1305,1568,3952,905,445,8898,758,2025,24537
"08/25/2008 15:00",1610,2029,1024,1302,1585,4007,886,455,8933,754,1993,24578
"08/25/2008 16:00",1592,2019,1033,1292,1584,4034,879,454,8918,758,1983,24546
"08/25/2008 17:00",1562,2001,1021,1277,1555,3979,883,452,8770,761,1954,24215
"08/25/2008 18:00",1506,1963,982,1240,1501,3838,878,432,8316,756,1911,23323
"08/25/2008 19:00",1475,1932,954,1202,1468,3671,862,415,7957,755,1882,22573
"08/25/2008 20:00",1489,1957,956,1229,1473,3675,867,417,7831,763,1925,22582
"08/25/2008 21:00",1408,1910,912,1201,1385,3499,836,393,7567,752,1920,21783
"08/25/2008 22:00",1270,1770,841,1098,1247,3171,757,355,7176,729,1805,20219
"08/25/2008 23:00",1133,1610,759,990,1112,2808,683,301,6667,708,1674,18445
"08/26/2008 00:00",1033,1504,686,904,1004,2504,631,256,6121,698,1563,16904
"08/26/2008 01:00",1002,1468,629,872,983,2260,610,237,5738,692,1510,16001
"08/26/2008 02:00",985,1428,584,843,941,2098,600,220,5318,689,1472,15178
"08/26/2008 03:00",977,1408,558,830,918,2010,594,213,5091,684,1456,14739
"08/26/2008 04:00",984,1424,545,831,906,2000,601,212,5018,686,1456,14663
"08/26/2008 05:00",1029,1492,564,867,925,2057,634,227,5215,700,1509,15219
"08/26/2008 06:00",1143,1637,606,948,979,2175,705,253,5585,715,1620,16366
"08/26/2008 07:00",1274,1766,675,1032,1061,2399,780,285,6193,735,1715,17915
"08/26/2008 08:00",1367,1867,739,1110,1154,2664,838,312,6758,752,1813,19374
"08/26/2008 09:00",1430,1901,779,1156,1213,2891,866,326,7188,753,1888,20391
"08/26/2008 10:00",1477,1948,814,1206,1270,3068,885,330,7460,755,1949,21162
"08/26/2008 11:00",1504,1971,827,1241,1322,3214,896,336,7642,759,1980,21692
"08/26/2008 12:00",1523,1982,834,1262,1347,3316,893,340,7757,759,1988,22001
"08/26/2008 13:00",1535,2006,844,1279,1367,3390,896,352,7843,754,2024,22290
"08/26/2008 14:00",1545,2014,852,1287,1396,3453,892,361,7909,753,2031,22493
"08/26/2008 15:00",1550,2010,861,1290,1416,3493,880,365,7949,750,2009,22573
"08/26/2008 16:00",1550,2008,870,1286,1425,3517,873,369,7975,754,1999,22626
"08/26/2008 17:00",1531,1991,865,1267,1416,3477,877,373,7881,758,1962,22398
"08/26/2008 18:00",1484,1949,840,1225,1378,3374,872,365,7524,754,1905,21670
"08/26/2008 19:00",1460,1924,822,1186,1360,3259,863,357,7236,757,1866,21090
"08/26/2008 20:00",1482,1953,834,1210,1382,3301,882,369,7156,766,1908,21243
"08/26/2008 21:00",1407,1911,804,1182,1314,3152,856,350,6954,753,1903,20586
"08/26/2008 22:00",1271,1771,747,1076,1189,2872,775,318,6624,727,1786,19156
"08/26/2008 23:00",1138,1614,681,972,1073,2559,696,274,6189,705,1655,17556
"08/27/2008 00:00",1039,1510,621,894,983,2298,639,235,5724,696,1544,16183
